"YEAR","STATE","RATE","URL"
"2018","AL","25.2","/nchs/pressroom/states/alabama/alabama.htm"
"2018","AK","19.3","/nchs/pressroom/states/alaska/alaska.htm"
"2018","AZ","20.1","/nchs/pressroom/states/arizona/arizona.htm"
"2018","AR","30.4","/nchs/pressroom/states/arkansas/arkansas.htm"
"2018","CA","13.6","/nchs/pressroom/states/california/california.htm"
"2018","CO","14.3","/nchs/pressroom/states/colorado/colorado.htm"
"2018","CT","8.3","/nchs/pressroom/states/connecticut/connecticut.htm"
"2018","DE","16.7","/nchs/pressroom/states/delaware/delaware.htm"
"2018","FL","16.7","/nchs/pressroom/states/florida/florida.htm"
"2018","GA","20.6","/nchs/pressroom/states/georgia/georgia.htm"
"2018","HI","17.2","/nchs/pressroom/states/hawaii/hawaii.htm"
"2018","ID","16","/nchs/pressroom/states/idaho/idaho.htm"
"2018","IL","15.8","/nchs/pressroom/states/illinois/illinois.htm"
"2018","IN","21.8","/nchs/pressroom/states/indiana/indiana.htm"
"2018","IA","15.3","/nchs/pressroom/states/iowa/iowa.htm"
"2018","KS","20","/nchs/pressroom/states/kansas/kansas.htm"
"2018","KY","27.3","/nchs/pressroom/states/kentucky/kentucky.htm"
"2018","LA","27.5","/nchs/pressroom/states/louisiana/louisiana.htm"
"2018","ME","11.1","/nchs/pressroom/states/maine/maine.htm"
"2018","MD","14.1","/nchs/pressroom/states/maryland/maryland.htm"
"2018","MA","7.2","/nchs/pressroom/states/massachusetts/massachusetts.htm"
"2018","MI","15.8","/nchs/pressroom/states/michigan/michigan.htm"
"2018","MN","10.2","/nchs/pressroom/states/minnesota/minnesota.htm"
"2018","MS","27.8","/nchs/pressroom/states/mississippi/mississippi.htm"
"2018","MO","21.6","/nchs/pressroom/states/missouri/missouri.htm"
"2018","MT","17.2","/nchs/pressroom/states/montana/montana.htm"
"2018","NE","16.7","/nchs/pressroom/states/nebraska/nebraska.htm"
"2018","NV","20.5","/nchs/pressroom/states/nevada/nevada.htm"
"2018","NH","8","/nchs/pressroom/states/newhampshire/newhampshire.htm"
"2018","NJ","10.3","/nchs/pressroom/states/newjersey/newjersey.htm"
"2018","NM","25.3","/nchs/pressroom/states/newmexico/newmexico.htm"
"2018","NY","11.7","/nchs/pressroom/states/newyork/newyork.htm"
"2018","NC","18.7","/nchs/pressroom/states/northcarolina/northcarolina.htm"
"2018","ND","16.4","/nchs/pressroom/states/northdakota/northdakota.htm"
"2018","OH","18.9","/nchs/pressroom/states/ohio/ohio.htm"
"2018","OK","27.2","/nchs/pressroom/states/oklahoma/oklahoma.htm"
"2018","OR","13.3","/nchs/pressroom/states/oregon/oregon.htm"
"2018","PA","14.1","/nchs/pressroom/states/pennsylvania/pennsylvania.htm"
"2018","RI","11.5","/nchs/pressroom/states/rhodeisland/rhodeisland.htm"
"2018","SC","22","/nchs/pressroom/states/southcarolina/southcarolina.htm"
"2018","SD","20.4","/nchs/pressroom/states/southdakota/southdakota.htm"
"2018","TN","25.3","/nchs/pressroom/states/tenessee/tennessee.htm"
"2018","TX","25.3","/nchs/pressroom/states/texas/texas.htm"
"2018","UT","13.1","/nchs/pressroom/states/utah/utah.htm"
"2018","VT","8.8","/nchs/pressroom/states/vermont/vermont.htm"
"2018","VA","14.3","/nchs/pressroom/states/virginia/virginia.htm"
"2018","WA","12.7","/nchs/pressroom/states/washington/washington.htm"
"2018","WV","25.4","/nchs/pressroom/states/westvirginia/westvirginia.htm"
"2018","WI","13","/nchs/pressroom/states/wisconsin/wisconsin.htm"
"2018","WY","20.8","/nchs/pressroom/states/wyoming/wyoming.htm"
"2017","AL","27","/nchs/pressroom/states/alabama/alabama.htm"
"2017","AK","22","/nchs/pressroom/states/alaska/alaska.htm"
"2017","AZ","22","/nchs/pressroom/states/arizona/arizona.htm"
"2017","AR","32.8","/nchs/pressroom/states/arkansas/arkansas.htm"
"2017","CA","15.1","/nchs/pressroom/states/california/california.htm"
"2017","CO","16.1","/nchs/pressroom/states/colorado/colorado.htm"
"2017","CT","8.8","/nchs/pressroom/states/connecticut/connecticut.htm"
"2017","DE","18.5","/nchs/pressroom/states/delaware/delaware.htm"
"2017","FL","18.2","/nchs/pressroom/states/florida/florida.htm"
"2017","GA","21.9","/nchs/pressroom/states/georgia/georgia.htm"
"2017","HI","19.1","/nchs/pressroom/states/hawaii/hawaii.htm"
"2017","ID","18.6","/nchs/pressroom/states/idaho/idaho.htm"
"2017","IL","17.4","/nchs/pressroom/states/illinois/illinois.htm"
